title,company,stipend,skills,url
,InAmigos FoundationActively hiring,Unpaid,"Artificial Intelligence (AI) InAmigos Foundation Actively hiring Work from home Unpaid 2 Weeks 1. Explore and use AI tools for different day-to-day tasks.
2. Complete assigned AI-based activities and mini projects.
3. Learn about practical applications of AI across different industries.
4. Maintain records of completed tasks and submit them on time.
5. Attend team meetings or training sessions whenever required. Data Science English Proficiency (Spoken) Few hours ago",https://internshala.com/internship/detail/work-from-home-artificial-intelligence-ai-internship-at-inamigos-foundation1788949896
,Be Rolling MediaActively hiring,"₹ 7,000 - 8,000 /month","AI Filmmaking Be Rolling Media Actively hiring Delhi (Hybrid) ₹ 7,000 - 8,000 /month 4 Months 1. Conceptualize and develop creative ideas, scripts, storylines, treatments, and storyboards for short-form, long-form, branded, and social media content.
2. Use AI-powered tools to create characters, environments, visuals, video sequences, voice-overs, music, and other elements required for filmmaking.
3. Translate concepts into strong visual narratives by defining shots, camera angles, movements, composition, lighting, mood, colour, and overall cinematic style.
4. Write and refine AI prompts to create high-quality, consistent, and visually engaging characters, scenes, environments, and cinematic sequences.
5. Edit and compile AI-generated and live-action footage using Adobe Premiere Pro, After Effects, and other relevant tools, including sound design, music, transitions, colour grading, VFX, motion graphics, and subtitles.
6. Collaborate with the creative, content, marketing, and production teams to understand briefs and turn ideas into engaging, high-quality visual content.
7. Stay updated with the latest trends in filmmaking, cinematography, social media, and generative AI while exploring and testing new AI tools and workflows.
8. Ensure final videos have strong storytelling, visual consistency, cinematic quality, and platform-specific formats while delivering projects within deadlines. Time Management Generative AI Development Generative AI Tools AI Video Generation AI Image Generation AI Voiceover 1 week ago",https://internshala.com/internship/detail/ai-filmmaking-internship-in-delhi-at-be-rolling-media1788152832
,AVGCActively hiring,"₹ 13,000 - 20,000 /month","Gen AI Artist – Concept Art & Filmmaking AVGC Actively hiring Delhi, Greater Noida, Noida ₹ 13,000 - 20,000 /month 4 Months AVGC Studios is looking for a Gen AI Artist Intern who is passionate about visual storytelling, digital art, and emerging Generative AI technologies. This internship is an opportunity to work on real-world creative projects and learn how AI can be integrated into professional animation, filmmaking, gaming, and visual content workflows.

Selected Intern's day-to-day responsibilities include:

1. Create AI-generated visuals, concepts, characters, environments, props, and creative assets.
2. Explore and experiment with different Generative AI tools and workflows.
3. Develop effective prompts to achieve specific artistic and visual outcomes.
4. Work on visual concepts based on project briefs and creative requirements.
5. Assist in creating mood boards, concept art, storyboards, and visual references.
6. Refine AI-generated outputs using Photoshop or other digital art tools.
7. Collaborate with artists, filmmakers, animators, and creative teams.
8. Maintain consistency in characters, environments, styles, and visual direction.
9. Research emerging AI tools, techniques, and creative trends.
10. Participate in feedback and revision cycles to improve final outputs. Video Making Image Editing Generative AI Tools AI Image Generation 2 weeks ago Job offer upto ₹ 3LPA post internship",https://internshala.com/internship/detail/gen-ai-artist-internship-in-multiple-locations-at-avgc1787730470
,InternshalaActively hiring,"₹ 15,000 - 20,000 /month","Founders Office Internshala Actively hiring Gurgaon ₹ 15,000 - 20,000 /month 6 Months We are looking for someone to work closely with the founder’s office and get a front-row seat to how business decisions are made at Internshala. The role will involve a mix of analytics, business research, and competitive intelligence. You will work on questions that don't always have a straightforward answer, dig into data and information, and turn your findings into insights that can help shape business decisions.

 

1. Analytics & reporting: Analyse business and product data, build reports and dashboards, track key metrics, and identify trends or insights that need attention.
2. Business research: Research markets, industries, companies, business models, and emerging trends to help us understand new opportunities and make better decisions.
3. Competitor analysis: Track competitors, understand their products, pricing, positioning and go-to-market strategies, and identify what we can learn from them.
4. Special projects: Work on ad-hoc strategic projects directly with the founder’s office. These could range from evaluating a new business opportunity to figuring out why a particular metric moved. Attention to Detail Market Analysis Critical thinking Problem Solving Business Analysis Research and Analytics Market research +2 more 6 days ago",https://internshala.com/internship/detail/founders-office-internship-in-gurgaon-at-internshala1788415939
,Symthis Private LimitedActively hiring,"₹ 4,000 - 6,000 /month","OEM & Technology Innovation Symthis Private Limited Actively hiring Bangalore ₹ 4,000 - 6,000 /month 6 Months As an OEM & Technology Innovation Intern at Symthis Private Limited, you will have the opportunity to work on cutting-edge projects and contribute to the growth and success of our company. You will be responsible for supporting the OEM and technology innovation teams with a focus on analytical thinking, critical thinking, research and analytics, product strategy, data analysis, negotiations, technical analysis, technical writing, technical support, problem-solving, and data preparation.



1. Conduct market research and competitive analysis to identify new opportunities for OEM partnerships and technology innovations.
2. Assist in developing product strategies and roadmaps to drive growth and profitability.
3. Analyze data and prepare reports to support decision-making processes within the teams.
4. Support in negotiating contracts and agreements with OEM partners and technology providers.
5. Provide technical analysis and support for ongoing projects and initiatives.
6. Assist in writing technical documentation and reports for internal and external stakeholders.
7. Collaborate with cross-functional teams to solve complex problems and drive innovation within the organization. 

If you are a motivated and innovative individual with a passion for technology and OEM partnerships, then this internship is the perfect opportunity for you to gain valuable experience and make a real impact in the industry. Apply now to join our dynamic team at Symthis Private Limited. Critical thinking Analytical Thinking Problem Solving Technical Analysis Technical Writing Technical Support English Proficiency (Spoken) +5 more 2 days ago Be an early applicant",https://internshala.com/internship/detail/oem-technology-innovation-internship-in-bangalore-at-symthis-private-limited1788787206
,Smollan IndiaActively hiring,"₹ 13,000 - 15,000 /month","Web Scraping Smollan India Actively hiring Work from home ₹ 13,000 - 15,000 /month 3 Months 1. Develop Automated Scrapers: Build end-to-end data extraction pipelines using Python and Playwright (Sync & Async).
2. Bypass Anti-Bot Systems: Implement advanced evasion techniques, including proxy management (Oxylabs/VPN), User-Agent rotation, and Stealth browser configurations.
3. Pipeline Maintenance: Proactively monitor and fix scrapers when target websites
change their UI or security protocols.
4. System Optimization: Optimize browser resource usage and execution speed for
large-scale crawling. HTML Python Selenium BeautifulSoup XPATH 3 weeks ago",https://internshala.com/internship/detail/work-from-home-web-scraping-internship-at-smollan-india1786527587
,Gateway Software SolutionsActively hiring,"₹ 3,000 - 12,000 /month","Prompt Engineering Gateway Software Solutions Actively hiring Chennai, Coimbatore, Erode, Karur, Madurai, Villupuram, Namakkal, Dharmapuri, Kanchipuram, Avadi, Salem, Kanjanoor, Tiruchirappalli, Sivagangai (Hybrid) ₹ 3,000 - 12,000 /month 6 Months As a Prompt Engineering intern at Gateway Software Solutions, we are looking for someone who is well-versed in ChatGPT and eager to dive into the world of AI-driven conversations. Your responsibilities will include:

1. Collaborating with our development team to integrate ChatGPT into our software solutions.
2. Assisting in the customization and training of ChatGPT models for specific client needs.
3. Testing and debugging the ChatGPT integration to ensure seamless functionality.
4. Providing support to our clients in implementing and utilizing ChatGPT within their systems.
5. Researching and staying up-to-date on the latest advancements in AI chatbot technology.
6. Contributing innovative ideas to enhance user experience and increase efficiency.
7. Participating in team meetings and brainstorming sessions to drive continuous improvement in our software solutions.

If you are passionate about AI, have a strong technical background, and are excited about the potential of ChatGPT, we want you on our team! This internship will provide valuable hands-on experience and the opportunity to make a real impact in the world of conversational AI. Python ChatGPT Gemini Few hours ago Be an early applicant",https://internshala.com/internship/detail/prompt-engineering-internship-in-multiple-locations-at-gateway-software-solutions1788926119
,FlipspacesActively hiring,"₹ 15,000 /month","AI Creative – Marketing & Content Flipspaces Actively hiring Mumbai ₹ 15,000 /month 3 Months This is a hands-on creative production role focused on creating films, stills, campaign creatives, social media assets, and brand content using AI and generative tools. You will experiment with different approaches, create multiple versions, learn quickly, and develop the creative judgment needed to identify what works best.

We can teach you how to use the tools. What we are looking for is curiosity, creative judgment, attention to detail, and a willingness to continuously improve your work.



1. Create brand and campaign assets from concept to final output using generative AI tools.
2. Experiment with tools such as Higgsfield, Runway, Nano Banana, ElevenLabs, and other emerging AI creative platforms.
3. Develop repeatable AI workflows and prompt frameworks to consistently produce high-quality outputs.
4. Create and adapt visual content for social media, campaigns, presentations, websites, and other marketing channels.
5. Maintain brand consistency across multiple creative assets.
6. Adapt creative ideas across different formats and platforms.
7. Understand the brief, project requirements, target audience, and business objectives before starting the creative process.
8. Explore new AI tools, workflows, and creative techniques.
9. Generate multiple creative options and identify the strongest outputs based on visual quality and brand relevance.
10. Work closely with the Marcom and Creative teams to execute campaigns.
11. Take initiative and bring new creative ideas to the team rather than simply executing assigned briefs. Canva ChatGPT Claude Gemini Few hours ago Be an early applicant",https://internshala.com/internship/detail/ai-creative--marketing-content-internship-in-mumbai-at-flipspaces1788956153
,Trade BrainsActively hiring,"₹ 12,000 - 15,000 /month","Technical Analyst Trade Brains Actively hiring Bangalore ₹ 12,000 - 15,000 /month 3 Months We are seeking a motivated and analytical Technical Analyst Intern to support our research analyst team. This internship offers hands-on exposure to financial markets, technical analysis, market research, and financial content creation. The ideal candidate should have a keen interest in stock markets, trading strategies, and data-driven investment analysis.



1. Assist in conducting technical analysis of equities, indices, commodities, and other financial instruments.
2. Monitor price movements, chart patterns, trading volumes, and key technical indicators such as RSI, MACD, moving averages, Bollinger Bands, and others.
3. Support the identification of short-term and long-term trading and investment opportunities based on technical analysis.
4. Assist in preparing technical research reports, stock analysis summaries, and market updates.
5. Contribute technical insights and market data for reports, presentations, and other financial content.
6. Track and summarize significant developments, news, and events impacting financial markets and the broader business environment.
7. Collaborate with research analysts, content teams, and market experts on various financial analysis projects.
8. Conduct market research and data collection to support ongoing investment and trading research initiatives. Technical Analysis Financial Analysis Equity Research Valuation Stock Trading Research and Analytics Investing +1 more Few hours ago Be an early applicant",https://internshala.com/internship/detail/technical-analyst-internship-in-bangalore-at-trade-brains1788954083
,"HopIntern (London, United Kingdom)Actively hiring","₹ 5,000 lump sum","Business Analytics HopIntern (London, United Kingdom) Actively hiring Work from home ₹ 5,000 lump sum 3 Months 1. Support various business functions, including marketing, finance, and operations.
2. Conduct research and analyse market trends.
3. Liaise with UK-based stakeholders regarding business-critical work.
4. Assist with data entry, reporting, and business presentations.
5. Work on the commercial aspect of various special projects.
6. Provide administrative and organisational support.

If you want to break into the UK job market but you're struggling to secure an internship or get work experience, then this is for you. English Proficiency (Spoken) English Proficiency (Written) Research and Analytics Few hours ago International Part time",https://internshala.com/internship/detail/work-from-home-part-time-business-analytics-internship-at-hopintern1788956432
